time;temp;humidity;CO2;TCOV
01/03/2023 04:49;32;42;1000;38.06
01/03/2023 04:50;32;42;997;40.07
01/03/2023 04:50;32;42;1000;32.81
01/03/2023 04:51;32;42;997;43.28
01/03/2023 04:51;32;42;997;48.93
01/03/2023 04:52;32;42;995;47.02
01/03/2023 04:52;32;42;997;50.3
01/03/2023 04:53;32;42;995;38.66
01/03/2023 04:53;32;42;995;31.46
01/03/2023 04:54;32;42;993;46.95
01/03/2023 04:54;32;42;995;45.82
01/03/2023 04:55;32;42;995;43.53
01/03/2023 04:55;32;42;993;29.1
01/03/2023 04:56;32;42;990;38.24
01/03/2023 04:56;32;42;990;37.78
01/03/2023 04:57;32;42;993;44.52
01/03/2023 04:57;32;42;993;54.4
01/03/2023 04:58;32;42;990;40.14
01/03/2023 04:58;32;42;990;48.22
01/03/2023 04:59;32;42;990;42.54
01/03/2023 04:59;32;42;995;48.12
01/03/2023 05:00;32;42;993;41.94
01/03/2023 05:00;32;42;993;42.51
01/03/2023 05:01;32;42;990;30.79
01/03/2023 05:01;32;42;990;28.54
01/03/2023 05:02;32;42;993;42.19
01/03/2023 05:02;32;42;993;30.16
01/03/2023 05:03;32;42;993;54.04
01/03/2023 05:03;32;42;993;67.59
01/03/2023 05:04;32;42;993;34.08
01/03/2023 05:04;32;42;990;42.26
01/03/2023 05:05;32;42;990;39.12
01/03/2023 05:05;32;42;993;50.23
01/03/2023 05:06;32;42;995;45.33
01/03/2023 05:06;32;42;993;30.05
01/03/2023 05:07;32;42;993;41.77
01/03/2023 05:07;32;42;993;45.4
01/03/2023 05:08;32;42;993;42.44
01/03/2023 05:08;32;42;990;48.08
01/03/2023 05:09;32;42;993;41.7
01/03/2023 05:09;32;42;995;45.05
01/03/2023 05:10;32;42;993;54.33
01/03/2023 05:10;32;42;993;55.91
01/03/2023 05:11;32;42;993;51.47
01/03/2023 05:11;32;42;990;43.81
01/03/2023 05:12;32;42;990;40.96
01/03/2023 05:12;32;42;990;42.01
01/03/2023 05:13;32;42;990;50.9
01/03/2023 05:13;32;42;985;48.12
01/03/2023 05:14;32;42;985;59.58
01/03/2023 05:14;32;42;985;47.62
01/03/2023 05:15;32;42;983;54.11
01/03/2023 05:15;32;42;980;49.39
01/03/2023 05:16;32;42;983;61.49
01/03/2023 05:16;32;42;983;67.31
01/03/2023 05:17;32;42;983;47.52
01/03/2023 05:17;32;42;980;59.83
01/03/2023 05:18;32;42;980;48.89
01/03/2023 05:18;32;42;980;48.75
01/03/2023 05:19;32;42;980;51.93
01/03/2023 05:19;32;42;983;53.3
01/03/2023 05:20;32;42;983;48.43
01/03/2023 05:20;32;42;983;36.97
01/03/2023 05:21;32;42;980;46.04
01/03/2023 05:21;32;42;983;36.09
01/03/2023 05:22;32;42;983;34.39
01/03/2023 05:22;32;42;983;46.56
01/03/2023 05:23;32;42;980;50.76
01/03/2023 05:23;32;42;983;60.54
01/03/2023 05:24;32;42;983;53.48
01/03/2023 05:24;32;42;980;48.86
01/03/2023 05:25;32;42;980;50.13
01/03/2023 05:25;32;42;978;35.35
01/03/2023 05:26;32;42;975;33.83
01/03/2023 05:26;31;42;978;41.27
01/03/2023 05:27;31;42;975;39.76
01/03/2023 05:27;31;42;978;29.67
01/03/2023 05:28;32;42;975;38.41
01/03/2023 05:28;32;42;978;20.21
01/03/2023 05:29;32;42;975;34.85
01/03/2023 05:29;32;42;975;59.27
01/03/2023 05:30;32;42;978;38.87
01/03/2023 05:30;31;42;975;45.61
01/03/2023 05:31;31;42;975;44.06
01/03/2023 05:31;31;42;973;48.08
01/03/2023 05:32;31;42;975;36.26
